,時間,本文
96,2022-12-02 23:44:38+09:00,"RT @JOExTqHaXlHevlj: 幹事はマジで大変💦
ほとんど何も食べれなかった(--;)

家族の寝息なのか、ラーメンのすする音なのか分かんないけど
…やっぱｳﾏｯ
あっ髪乾かすの忘れてるしw
でも天使にラブ・ソングをも見たいしお腹もすいた～ってﾅ
#ラーメン #夜食…"
97,2022-12-02 23:44:34+09:00,"RT @D_kokeshimaru: 明日の金曜ロードショーでやる“天使にラブ・ソングを···”は、かれこれ10年以上放送されてなかった日テレ版オリジナル吹き替えのDVDにもBlu-rayにも収録されてない中村晃子さんのデロリスなので、好きな人は録画不可避だぞ！
2週連続だから…"
98,2022-12-02 23:44:19+09:00,RT @rin_asano: 『天使にラブ・ソングを3』はどうなった？ウーピー・ゴールドバーグが明かす https://t.co/D0F89l7abS @cinematodayより
99,2022-12-02 23:44:09+09:00,天使にラブ・ソングを...久しぶりすぎてほぼ内容忘れてたけど面白かったな
100,2022-12-02 23:44:05+09:00,RT @pfeasy: 天使にラブ・ソングを https://t.co/uGf6fy7xK0
101,2022-12-02 23:43:51+09:00,"RT @miura3__: どういう人生を歩んできたら
原題: 「Sister Act」を
「天使にラブ・ソングを」
に日本語訳出来る教養が身に付くのかと毎回思う…

#金曜ロードショー
#天使にラブ・ソングを"
102,2022-12-02 23:43:41+09:00,"RT @miura3__: どういう人生を歩んできたら
原題: 「Sister Act」を
「天使にラブ・ソングを」
に日本語訳出来る教養が身に付くのかと毎回思う…

#金曜ロードショー
#天使にラブ・ソングを"
103,2022-12-02 23:43:38+09:00,『天使にラブ・ソングを3』はどうなった？ウーピー・ゴールドバーグが明かす https://t.co/D0F89l7abS @cinematodayより
104,2022-12-02 23:43:37+09:00,"ハリーポッターを好きになってから初めて天使にラブ・ソングを、を観ました！マクゴナガル先生？？！ってなって、やっぱりマクゴナガル先生で、1人で沸いてました🔥笑
#天使にラブ・ソングを #ハリーポッター #マクゴナガル先生"
105,2022-12-02 23:43:22+09:00,"RT @miura3__: どういう人生を歩んできたら
原題: 「Sister Act」を
「天使にラブ・ソングを」
に日本語訳出来る教養が身に付くのかと毎回思う…

#金曜ロードショー
#天使にラブ・ソングを"
106,2022-12-02 23:43:17+09:00,"天使にラブ・ソングを
のゴスペルを聞くと、親戚の結婚式でゴスペル倶楽部(？)みたいの入ってるので歌います！って新郎新婦とお仲間さんで歌ってたのを思い出す……
素敵だったなぁー(  ˃̶͈ ᴗ ˂̶͈  )♡ https://t.co/kPhvb685dU"
107,2022-12-02 23:42:59+09:00,"RT @fbsjinsil: 2022/12/02(Fri)🐾❄️
いつも❤️RTありがとうございます😊
急に寒くなったので風邪をひいて
しまいました🤧
今、TVで「天使にラブ・ソングを」を
観ています😄
やはり音楽や歌はいいですね🥰
#Yoshiki #TeamYoshiki…"
108,2022-12-02 23:42:44+09:00,初めて映画「天使にラブ・ソングを」を見たんだけど、まさか主人公が命狙われてるとは思わなかった…
109,2022-12-02 23:42:30+09:00,RT @tora01x10: 金ローが「天使にラブ・ソングを…」なので描くしかなかった。聖夜決戦編も楽しみだねー！ https://t.co/cg4MUWS8Jy
110,2022-12-02 23:42:19+09:00,RT @pfeasy: 天使にラブ・ソングを https://t.co/uGf6fy7xK0
111,2022-12-02 23:42:00+09:00,"天使にラブ・ソングを...　これこそ血沸き肉躍る映画！
#天使にラブ・ソングを..."
112,2022-12-02 23:41:55+09:00,あぁー見忘れた…_(:3 」∠)_＞天使にラブ・ソングを…
113,2022-12-02 23:41:45+09:00,RT @pfeasy: 天使にラブ・ソングを https://t.co/uGf6fy7xK0
114,2022-12-02 23:41:42+09:00,"きょうの観てないけど「天使にラブ・ソングを…」かなりすき！！
でも2の方が好き！…人が死なないから……"
115,2022-12-02 23:41:32+09:00,"RT @cinematoday: 『天使にラブ・ソングを3』はどうなった？ウーピー・ゴールドバーグが明かす
#天使にラブソングを https://t.co/P0J86Vs01C"
116,2022-12-02 23:41:27+09:00,RT @mokera17: 天使にラブ・ソングをはじめてみたけれどめちゃおもしろかった、、、ピアノのおばあちゃんかわいかった、ロバートさんのおうたすごかった、、マクゴナガル先生好きすぎる、、、、
117,2022-12-02 23:41:22+09:00,"『天使にラブ・ソングを…』初めて見た、って家族に言ったらめちゃくちゃ驚かれた
因みに『ホーム・アローン』も殆ど見てはいるけど最初から最後までちゃんと見たことはない
有名な映画、見られる時に見とかなくちゃね。教養として。

#天使にラブ・ソングを…
#天使にラブソングを
#金曜ロードショー"
118,2022-12-02 23:41:21+09:00,"RT @JOExTqHaXlHevlj: 幹事はマジで大変💦
ほとんど何も食べれなかった(--;)

家族の寝息なのか、ラーメンのすする音なのか分かんないけど
…やっぱｳﾏｯ
あっ髪乾かすの忘れてるしw
でも天使にラブ・ソングをも見たいしお腹もすいた～ってﾅ
#ラーメン #夜食…"
119,2022-12-02 23:40:58+09:00,"2022年12月02日の金曜ロードショーの天使にラブ・ソングをは見たか？せっかくだから見ていけよ！

https://t.co/mYrfeO3Tv8

 #金曜ロードショー #天使にラブ・ソングを"
120,2022-12-02 23:40:46+09:00,"RT @miura3__: どういう人生を歩んできたら
原題: 「Sister Act」を
「天使にラブ・ソングを」
に日本語訳出来る教養が身に付くのかと毎回思う…

#金曜ロードショー
#天使にラブ・ソングを"
121,2022-12-02 23:40:46+09:00,"RT @NiwaNiwaSTU: https://t.co/nyrVn0PGkq天使にラブ・ソングを…
Wikipediaめっちゃ面白い https://t.co/xXhLoElhYN"
122,2022-12-02 23:40:41+09:00,RT @pfeasy: 天使にラブ・ソングを https://t.co/uGf6fy7xK0
123,2022-12-02 23:40:24+09:00,"RT @eigacom: 映画「天使にラブ・ソングを…」で流れる歌＆曲を知ってる？　劇中楽曲リスト【金曜ロードショーで本日放送】

▼記事詳細はこちら
https://t.co/UdxxG963LK

#天使にラブソングを #金曜ロードショー #金ロー @kinro_ntv"
124,2022-12-02 23:40:16+09:00,RT @tora01x10: 金ローが「天使にラブ・ソングを…」なので描くしかなかった。聖夜決戦編も楽しみだねー！ https://t.co/cg4MUWS8Jy
125,2022-12-02 23:40:04+09:00,RT @pfeasy: 天使にラブ・ソングを https://t.co/uGf6fy7xK0
126,2022-12-02 23:40:01+09:00,"2022年12月02日の金曜ロードショーの天使にラブ・ソングをは見たか？せっかくだから見ていけよ！

https://t.co/mYrfeNMQt8

 #金曜ロードショー #天使にラブ・ソングを"
127,2022-12-02 23:39:56+09:00,"RT @Qili_4728: 「天使にラブ・ソングを…」の原題の""Sister Act""がどんな複雑なダジャレなのか説明してみる - 放し雀の軒涼み

おもろい！ https://t.co/InL8CZvf5E"
128,2022-12-02 23:39:38+09:00,"金ローは見てしまった…「天使にラブ・ソングを…」大好きで…やってると見ちゃう病もってるから
そして…毎回目から水が溢れる…話知ってるけど
歌がほんと好きだ…(*´▽｀*)"
129,2022-12-02 23:39:34+09:00,"RT @cinematoday: 『天使にラブ・ソングを3』はどうなった？ウーピー・ゴールドバーグが明かす
#天使にラブソングを https://t.co/P0J86Vs01C"
130,2022-12-02 23:39:29+09:00,"RT @D_kokeshimaru: 明日の金曜ロードショーでやる“天使にラブ・ソングを···”は、かれこれ10年以上放送されてなかった日テレ版オリジナル吹き替えのDVDにもBlu-rayにも収録されてない中村晃子さんのデロリスなので、好きな人は録画不可避だぞ！
2週連続だから…"
131,2022-12-02 23:39:18+09:00,"https://t.co/nyrVn0PGkq天使にラブ・ソングを…
Wikipediaめっちゃ面白い https://t.co/xXhLoElhYN"
132,2022-12-02 23:39:13+09:00,RT @pfeasy: 天使にラブ・ソングを https://t.co/uGf6fy7xK0
133,2022-12-02 23:39:07+09:00,RT @pfeasy: 天使にラブ・ソングを https://t.co/uGf6fy7xK0
134,2022-12-02 23:38:52+09:00,"RT @itukayomu: 観といたほうがいいですよ
『天使にラブ・ソングを…』は‥！"
135,2022-12-02 23:38:48+09:00,RT @abe_atsuize: 天使にラブ・ソングをサイコーだな！
136,2022-12-02 23:38:46+09:00,"RT @livedoornews: 【続投】「天使にラブ・ソングを…」第3作の脚本が完成間近
https://t.co/pGsDXJcPYs

1992年の第1作で、シスター・クラレンスことデロリス役を演じたウーピー・ゴールドバーグが明かした。それ以上の詳細は明かさなかったもの…"
