,時間,本文
91,2023-02-03 23:56:40+09:00,"RT @sayjoy_enjoy: 視聴者の大半がウィルでもエリザベスでもなく結婚の立ち会いをするバルボッサに心を持っていかれるというね

#パイレーツオブカリビアン
＃金曜ロードショー https://t.co/dbb91CwmPc"
92,2023-02-03 23:56:40+09:00,"結局エリザベス(女性)が最強説🤭❤✨
#パイレーツオブカリビアン https://t.co/zKHPQCZXN0"
93,2023-02-03 23:56:40+09:00,"RT @hiratapro: ★負けずに収録裏話。
この台本を受け取ったのは、旅公演の真っ最中。
窓から五稜郭の見える素敵なホテルでした。

#金曜ロードショー　
#パイレーツオブカリビアン"
94,2023-02-03 23:56:38+09:00,"RT @sayjoy_enjoy: 視聴者の大半がウィルでもエリザベスでもなく結婚の立ち会いをするバルボッサに心を持っていかれるというね

#パイレーツオブカリビアン
＃金曜ロードショー https://t.co/dbb91CwmPc"
95,2023-02-03 23:56:36+09:00,"RT @hiratapro: ★独りゆっくり円盤を観るのもいいけど、公式さんの蘊蓄を読みながらみんなと一緒に観るパイレーツはやっぱ楽しいね～💃

収録の記憶も色々甦ったし、ジャックはいつまでも大事なキャラクターです。

3週に渡ってお付き合いありがとうございました。

#金曜ロ…"
96,2023-02-03 23:56:35+09:00,"RT @_kaku0609: エリザベスとキスした人間は死に追いやられますが、1作目で鍛冶屋ウィルが届けた(作った)剣は、手に取った人間は全員死んでるし最後作った主にこんな形で戻ってくるという、かなり曰く付きな剣っぷりを発揮
#パイレーツオブカリビアン
#金曜ロードショー ht…"
97,2023-02-03 23:56:33+09:00,パイレーツオブカリビアンはま〜〜〜〜じでキャラデザが強い　誰がコスプレしても似るのほんますごい
98,2023-02-03 23:56:30+09:00,"RT @opon_no_ko: 日テレさん…
なぜにここをカットした…
ベケット卿の美しい最後の死に様を…
これを見るために見ていたようなものなのに…笑
カットの判断をくだした人に
パイレーツ好きは激おこです( ･᷄ὢ･᷅ )
#パイレーツ・オブ・カリビアン
#パイレーツオブカ…"
99,2023-02-03 23:56:29+09:00,"RT @sayjoy_enjoy: 視聴者の大半がウィルでもエリザベスでもなく結婚の立ち会いをするバルボッサに心を持っていかれるというね

#パイレーツオブカリビアン
＃金曜ロードショー https://t.co/dbb91CwmPc"
100,2023-02-03 23:56:29+09:00,RT @prime46502218: 「フライング・ダッチマン号の船長は死者の魂をあの世に運ぶ仕事を務めないと怪物になる」という呪いを「見せたい相手にフラれたからもうどうにでもなれよ。死者も苦しめよ」って言って無視し幽霊船イカ襲撃者ライフを送ってた無敵の人デイヴィ・ジョーンズ。…
101,2023-02-03 23:56:26+09:00,パイレーツオブカリビアン面白いかもしれん、ってなった方、ほんとうにぜひフルでみてほしいなっっ
102,2023-02-03 23:56:25+09:00,"RT @kota_m02: #パイレーツオブカリビアン
３週間連続ありがとうございます！
いつ観ても色褪せない最高な映画だ！！ https://t.co/kbPNnYLaTG"
103,2023-02-03 23:56:25+09:00,"パイレーツオブカリビアン（金ロー）からの
ツクヨミさん（放サモ）ボイス集で
私は 私は

耳がデロデロトロトロです…
ハアンッ💙💙💙💙💙💙💙💙💙"
104,2023-02-03 23:56:20+09:00,"福は自分で呼び込む
 #毎日1俺流名言  #ウクライナに平和を   #パイレーツオブカリビアン   #節分の日"
105,2023-02-03 23:56:18+09:00,"RT @sayjoy_enjoy: 視聴者の大半がウィルでもエリザベスでもなく結婚の立ち会いをするバルボッサに心を持っていかれるというね

#パイレーツオブカリビアン
＃金曜ロードショー https://t.co/dbb91CwmPc"
106,2023-02-03 23:56:13+09:00,"RT @sayjoy_enjoy: 視聴者の大半がウィルでもエリザベスでもなく結婚の立ち会いをするバルボッサに心を持っていかれるというね

#パイレーツオブカリビアン
＃金曜ロードショー https://t.co/dbb91CwmPc"
107,2023-02-03 23:56:07+09:00,"RT @eigatrivia: #毎日映画トリビア
『パイレーツ・オブ・カリビアン/呪われた海賊たち』(2003)

海賊ファンタジーアクション第1作目。監督ゴア・ヴァービンスキー、出演ジョニー・デップ、オーランド・ブルーム他

#映画トリビア
#映画好きと繋がりたい
#パイレ…"
108,2023-02-03 23:56:04+09:00,"RT @HitUltra: やっぱり金ローの事だから編集が甘いんだよな…
10年後にウィルとエリザベスとその息子が会うシーンなかったか…

多分、５作目の地上波初放送の可能性は低いかな…
(なお、可能性は０と言いきれない)
#パイレーツオブカリビアン #パイレーツ・オブ・カリビ…"
109,2023-02-03 23:56:00+09:00,"RT @cot_ton2003: 3作目の音楽は愛のテーマなど多数の新曲をはじめ、前2作の曲のメロディやフレーズも使用されるなど3部作の集大成的な音楽でシリーズ史上で最も壮大なもの。
今作も通常盤サントラには収録されていない隠れた良曲がめちゃくちゃあるのでやはり拡張盤サントラが…"
110,2023-02-03 23:56:00+09:00,"RT @opon_no_ko: 日テレさん…
なぜにここをカットした…
ベケット卿の美しい最後の死に様を…
これを見るために見ていたようなものなのに…笑
カットの判断をくだした人に
パイレーツ好きは激おこです( ･᷄ὢ･᷅ )
#パイレーツ・オブ・カリビアン
#パイレーツオブカ…"
111,2023-02-03 23:56:00+09:00,幼少期から親しみのある映画　ジブリ除いてしまうとパイレーツオブカリビアンしか残らん
112,2023-02-03 23:55:57+09:00,"RT @garren_kumiai: ・ジャックが墓場で精神分裂してるシーン
・スワン総督の霊がボートに乗ってるシーン
・ベケット卿のスローモーション（重要）
・エンディング
・エリザベスと息子がウィルを迎えるシーン
仕方ないにしろ味わい深いシーンの数々がカットされてて悲しいね…"
