,時間,本文
89,2023-01-27 23:55:13+09:00,パイレーツオブカリビアン、1作目は海と呪いと財宝を巡る男たちの戦いって感じだったのに、2作目では当たり前のように人外やクリーチャーが登場するパニックホラー的な描写が増えるの面白すぎる
90,2023-01-27 23:55:11+09:00,"RT @hiratapro: ★そしてこの映画で一番オイシイ海賊が登場っ❗

みんな大好きバルボッサ💃💃💃

#金曜ロードショー　
#パイレーツオブカリビアン"
91,2023-01-27 23:55:04+09:00,"RT @Lostriver1930: オフショットが何とも青春で本当に良いのよね😭✨
 #パイレーツオブカリビアン https://t.co/VI1iQUg8yu"
92,2023-01-27 23:55:00+09:00,"RT @kinro_ntv: ジャック・スパロウの持つ「北を指さないコンパス🧭」。

シリーズ１作目にも登場したコンパスですが、事情を知らない者は「壊れている🤔」と思い込んでしまいますが実は“持ち主が心から望んでいるもの”が存在する方向を指し示してくれるものなのです😳
#金曜ロ…"
93,2023-01-27 23:55:00+09:00,"RT @530E: パイレーツにどハマりしたあの頃の知識で、超ざっくりキャプテン ジャック・スパロウの前日譚描いてみた

#パイレーツオブカリビアン #金曜ロードショー https://t.co/7ELPdAaqVf"
94,2023-01-27 23:54:57+09:00,"RT @kinro_ntv: 来週も☠️#パイレーツオブカリビアン🏴☠️
第3⃣作『パイレーツ・オブ・カリビアン／ワールド・エンド』を放送します😆

世界中の海賊が集結！
永遠の命を手に入れるのは誰なのか…？
海賊たちの最後の闘いの火蓋が切られた！

ますますパワーアップした冒…"
95,2023-01-27 23:54:55+09:00,"RT @kinro_ntv: ジャック・スパロウの持つ「北を指さないコンパス🧭」。

シリーズ１作目にも登場したコンパスですが、事情を知らない者は「壊れている🤔」と思い込んでしまいますが実は“持ち主が心から望んでいるもの”が存在する方向を指し示してくれるものなのです😳
#金曜ロ…"
96,2023-01-27 23:54:55+09:00,RT @kinro_ntv: ブラック・パール号🚢がクラーケン🐙に襲われるシーンは、グランドバハマ島で撮影🎥。オーランド・ブルームさん👤は、真っ白な砂と青い海のある贅沢な場所🏝で撮影できたことについて、「スクリーンに豊かな色感をもたらしてくれるだろう」とその効果を語っています😄…
97,2023-01-27 23:54:40+09:00,"RT @fuji_gitsune: #金曜ロードショー
#パイレーツオブカリビアン
バルボッサの吹替してる壤晴彦さん。スカーの時もそうだけど、粘り気凄いのにどこかエッジの効いた声好きよ。渋い色気あるよね✨ https://t.co/mRN6pGElgM"
98,2023-01-27 23:54:40+09:00,"RT @fuji_gitsune: #金曜ロードショー
#パイレーツオブカリビアン
バルボッサの吹替してる壤晴彦さん。スカーの時もそうだけど、粘り気凄いのにどこかエッジの効いた声好きよ。渋い色気あるよね✨ https://t.co/mRN6pGElgM"
99,2023-01-27 23:54:35+09:00,"RT @sabfeua: 『パイレーツ・オブ・カリビアン/デッドマンズ・チェスト』

バルボッサが階段から降りてくるラストシーンは、出演者全員がバルボッサが登場してくるということを知らされていなかったため、このシーンでは役者たちが驚いている本当のリアクションを楽しむことができま…"
100,2023-01-27 23:54:34+09:00,"#パイレーツオブカリビアン
#キャプテンジャックスパロウ
#Pirates_of_the_Caribbean
#Captain_Jack_Sparrow https://t.co/02S1UHlAGs"
101,2023-01-27 23:54:32+09:00,"RT @yoko_ainsel: クラーケンはイカかタコかって言いながら見てたのに
最終的に吸盤のサイズが揃ってるからタコやとしたらメスのクラーケンやな。とタコの街の人が言ってる🐙

メスのクラーケン…

 #パイレーツオブカリビアン"
102,2023-01-27 23:54:32+09:00,うわあ！パイレーツオブカリビアン、一番好きな2作目でめちゃくちゃ楽しみにしてたのにテレビつけっぱなしでほぼ寝てて、今、起きたら終わってた😇デイヴィ・ジョーンズのことをデイヴィ・オブ・ジョーンズって言ったら、身内が爆笑してました。デイヴィ…オブ…ジョーンズ誰ぞ…ねむい…(つω-`).｡o○
103,2023-01-27 23:54:32+09:00,"RT @yuto2550: １作目はノリントン、2作目はベケット、３作目はバルボッサの部下で登場するグローブス大尉。何気に好きなキャラだったのに生命の泉で無意味に殺された挙句死んだ理由が「キャラが増えすぎて管理しきれなくなった」という制作側の都合なのが数少ない許せない所
#パイ…"
104,2023-01-27 23:54:30+09:00,"来週の金ローも
パイレーツオブカリビアンですね。

一足先にAmazonプライムビデオで
パイレーツ・オブ・カリビアン／ワールド・エンド
楽しもうかな。

#金曜ロードショー 
#パイレーツオブカリビアン 

https://t.co/K6ACbBf4ft"
105,2023-01-27 23:54:29+09:00,ワールドエンドエコノミカかと思ったらパイレーツオブカリビアンかよ
106,2023-01-27 23:54:28+09:00,"RT @kinro_ntv: おのれぇぃいい！
ジャック・スパロウォォォォオオ！！

#金曜ロードショー　#パイレーツオブカリビアン https://t.co/MuygvkPQcD"
107,2023-01-27 23:54:23+09:00,"RT @kinro_ntv: #パイレーツオブカリビアン
始まりました😳

ファーストシーン…🎥
花嫁が雨に打たれているところから
この物語は始まります…☔️

#金曜ロードショー https://t.co/Of3fMF8OAZ"
