,時間,本文
105,2023-01-13 23:55:42+09:00,"ジブリ作品の中でもマーニーがこんなに刺さると思わなかったなー。観たの２回目なんだけど。
#思い出のマーニー
#金曜ロードショー
#スタジオジブリ 思い出のマーニー （徳間アニメ絵本） [ ジョーン・ゲイル・ロビンソン ][Amazon] https://t.co/vIriioXY8m  [楽天] https://t.co/JWG6qzyrjG #rakuafl https://t.co/zDyr7tUcRE"
106,2023-01-13 23:55:42+09:00,思い出のマーニー、観てみたいと思っていたから観られて良かった。登場人物それぞれに魅力が感じられたし、ストーリー展開もドキドキしながら観られました(高畑監督評が気になるので探したい)。
107,2023-01-13 23:55:40+09:00,「思い出のマーニー」初めて見ました。めっちゃおもしろかった。素敵ー。原作と舞台やらなにやらあんなに変えても、ちゃんと思い出のマーニーなんだな、すごいな。音楽も素敵。声優さんも落ちついていてとてもよかった。
108,2023-01-13 23:55:40+09:00,"RT @yuna_Jel_0517: ✿ @jel_sub ✿

ジェルくん、今日も1日お疲れ様でした！
今日はどんな1日でしたか💭
私は今テレビで『思い出のマーニー』がやってるので、のんびり見てます(｡•ᴗ•｡)♡
ジェルくんも今見てるのかな？
それはともかく『愛言葉IV』1…"
109,2023-01-13 23:55:39+09:00,今回の思い出のマーニーで角田光代の八日目の蝉を思い出しだした。母、育てた人たちの愛よ。マーニーも「杏奈」って何回も呼んだんだろうな。私はたくさんのことを乗り越えてきた。だからあなたも大丈夫。
110,2023-01-13 23:55:33+09:00,RT @kamahensorede: おばあちゃん子な私は、思い出のマーニーで毎回6Lくらい泣く。時を超えて杏奈に会いにきたマーニー、悲しみの中から背中を押してくれたマーニー。鼻歌も髪飾りも湿っ地屋敷も、信じられないほどの愛。繰り返し観て全てのセリフに涙があふれてくる。私の一夏…
111,2023-01-13 23:55:31+09:00,思い出のマーニー冒頭の札幌のシーン見たら満足
112,2023-01-13 23:55:28+09:00,思い出のマーニー歌も絵もとても好き😌✨また見たいな
113,2023-01-13 23:55:22+09:00,RT @Ski_Spl_000: 思い出のマーニーを見ていたら、唐突なNTRにより私の脳細胞が破壊されました。
114,2023-01-13 23:55:20+09:00,思い出のマーニーの余韻に浸りつつそろそろ就寝。
115,2023-01-13 23:55:18+09:00,思い出のマーニーって観たことなかったんだよなぁ 録画すればよかった
116,2023-01-13 23:55:18+09:00,"RT @MaroYonebayashi: 以上、質問コーナーでした！
今日いただいた質問は行方がわからなくなって抜けてるかもしれません。
「思い出のマーニー」は2度3度観ても楽しめるように作ってありますので、また観てください！ https://t.co/g1ozOVAzZT"
